challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.96106,0.29897,0.18705,0.98043
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.8934,0.49394,0.31219,0.94521
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.96912,0.28874,0.17774,0.9845
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.90845,0.4964,0.31246,0.95315
t-C2C,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.94606,0.46434,0.27074,0.97277
t-C2C,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,179,100,0.2,0,9,5,1.0,0.84977,0.77384,0.48569,0.92229
t-C2C,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,172,50,0.2,0,9,3,0.5,0.91739,0.54062,0.34558,0.95805
t-C2C,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,172,50,0.2,0,9,3,0.5,0.6436,1.10254,0.81426,0.80659
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,167,100,0.2,0,6,5,1.0,0.92286,0.45077,0.31121,0.96107
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,167,100,0.2,0,6,5,1.0,0.64098,0.96404,0.7483,0.81257
t-A2A,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,288,50,0.3,0,3,1,0.5,0.80916,0.61317,0.44017,0.89974
t-A2A,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,288,50,0.3,0,3,1,0.5,0.4283,1.04815,0.80053,0.69304
t-A2A,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,290,100,0.3,0,3,1,0.5,0.82067,0.58111,0.40604,0.90595
t-A2A,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,290,100,0.3,0,3,1,0.5,0.42543,1.02941,0.79608,0.6881
t-C2C,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,82,100,0.1,1,9,5,0.5,0.91228,0.59339,0.38991,0.95544
t-C2C,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,82,100,0.1,1,9,5,0.5,0.6836,1.10012,0.79997,0.83388
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,250,100,0.2,10,3,5,0.5,0.80137,0.66585,0.48256,0.89657
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,250,100,0.2,10,3,5,0.5,0.57182,0.97209,0.75117,0.76577
t-C2C,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.94439,0.47144,0.26701,0.97188
t-C2C,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.84755,0.77967,0.48616,0.92097
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,43,100,0.1,0,12,3,1.0,0.97101,0.27976,0.1675,0.98545
t-F2F,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,43,100,0.1,0,12,3,1.0,0.90975,0.49289,0.30666,0.95383
t-A2A,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,74,100,0.1,1,9,1,0.5,0.84763,0.55317,0.3942,0.92117
t-A2A,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,74,100,0.1,1,9,1,0.5,0.686,0.78061,0.58253,0.83175
t-C2C,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.93731,0.47027,0.26706,0.96826
t-C2C,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.83058,0.77211,0.48275,0.91185
t-A2A,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,62,100,0.1,1,6,1,0.5,0.85347,0.55481,0.39526,0.92428
t-A2A,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,62,100,0.1,1,6,1,0.5,0.69505,0.78572,0.5866,0.83705
t-F2F,mol2vec,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,100,0.2,0,9,1,1.0,0.96331,0.29025,0.17923,0.98156
t-F2F,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,100,0.2,0,9,1,1.0,0.89379,0.49307,0.30892,0.94542
