challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
s-C2C,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.76467,0.90876,0.64033,0.87543
s-C2C,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.70032,1.02425,0.72102,0.83733
s-C2C,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.81331,0.75957,0.52116,0.90312
s-C2C,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.70839,0.94879,0.64715,0.84219
s-C2C,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.69397,0.96096,0.67789,0.8339
s-C2C,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.27793,1.45823,1.075,0.56513
s-C2C,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.72024,0.97951,0.69328,0.84931
s-C2C,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.36068,1.46195,1.08338,0.62646
s-C2C,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.88948,0.62203,0.40048,0.94332
s-C2C,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.81801,0.79743,0.52497,0.90466
s-C2C,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.87596,0.61932,0.39653,0.9362
s-C2C,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.79276,0.79979,0.52474,0.89151
s-C2C,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.85533,0.66039,0.43844,0.92511
s-C2C,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.64046,1.02437,0.7407,0.80651
s-C2C,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.89212,0.60779,0.38788,0.9447
